fdc_id,description,protein,calories,sugar,sodium,portion_description,gram_weight
2705384,"Milk, NFS",3.33,52,4.88,39,Guideline amount per cup of hot cereal,61
2705384,"Milk, NFS",3.33,52,4.88,39,1 individual school container,244
2705384,"Milk, NFS",3.33,52,4.88,39,Quantity not specified,244
2705384,"Milk, NFS",3.33,52,4.88,39,1 fl oz,30.5
2705384,"Milk, NFS",3.33,52,4.88,39,1 cup,244
2705384,"Milk, NFS",3.33,52,4.88,39,Guideline amount per fl oz of beverage,2.5
2705385,"Milk, whole",3.27,61,4.81,38,Guideline amount per fl oz of beverage,2.5
2705385,"Milk, whole",3.27,61,4.81,38,Quantity not specified,244
2705385,"Milk, whole",3.27,61,4.81,38,Guideline amount per cup of hot cereal,61
2705385,"Milk, whole",3.27,61,4.81,38,1 individual school container,244
2705385,"Milk, whole",3.27,61,4.81,38,1 cup,244
2705385,"Milk, whole",3.27,61,4.81,38,1 fl oz,30.5
2705386,"Milk, reduced fat (2%)",3.36,50,4.89,39,1 individual school container,244
2705386,"Milk, reduced fat (2%)",3.36,50,4.89,39,1 cup,244
2705386,"Milk, reduced fat (2%)",3.36,50,4.89,39,1 fl oz,30.5
2705386,"Milk, reduced fat (2%)",3.36,50,4.89,39,Guideline amount per cup of hot cereal,61
2705386,"Milk, reduced fat (2%)",3.36,50,4.89,39,Quantity not specified,244
2705386,"Milk, reduced fat (2%)",3.36,50,4.89,39,Guideline amount per fl oz of beverage,2.5
2705387,"Milk, low fat (1%)",3.38,43,4.96,39,1 individual school container,244
2705387,"Milk, low fat (1%)",3.38,43,4.96,39,Guideline amount per cup of hot cereal,61
2705387,"Milk, low fat (1%)",3.38,43,4.96,39,1 cup,244
2705387,"Milk, low fat (1%)",3.38,43,4.96,39,Quantity not specified,244
2705387,"Milk, low fat (1%)",3.38,43,4.96,39,1 fl oz,30.5
2705387,"Milk, low fat (1%)",3.38,43,4.96,39,Guideline amount per fl oz of beverage,2.5
2705388,"Milk, fat free (skim)",3.43,34,5.05,41,1 individual school container,244
2705388,"Milk, fat free (skim)",3.43,34,5.05,41,Guideline amount per cup of hot cereal,61
2705388,"Milk, fat free (skim)",3.43,34,5.05,41,Guideline amount per fl oz of beverage,2.5
2705388,"Milk, fat free (skim)",3.43,34,5.05,41,1 fl oz,30.5
2705388,"Milk, fat free (skim)",3.43,34,5.05,41,1 cup,244
2705388,"Milk, fat free (skim)",3.43,34,5.05,41,Quantity not specified,244
2705389,"Milk, lactose free, low fat (1%)",3.38,43,4.96,39,Guideline amount per cup of hot cereal,61
2705389,"Milk, lactose free, low fat (1%)",3.38,43,4.96,39,1 cup,244
2705389,"Milk, lactose free, low fat (1%)",3.38,43,4.96,39,Quantity not specified,244
2705389,"Milk, lactose free, low fat (1%)",3.38,43,4.96,39,Guideline amount per fl oz of beverage,2.5
2705389,"Milk, lactose free, low fat (1%)",3.38,43,4.96,39,1 fl oz,30.5
